,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
Seq102,0.006891538,0.0043482753,0.0023365144,0.0011156687,0.00054369686,0.00031262604,0.00022042732,0.00018086341,0.00016230035,0.00015288932,0.00014782393,0.00014496752,0.00014329444,0.00014228188,0.00014165121,0.00014124843,0.00014098544,0.0001408105,0.00014069198,0.00014061056,0.00014055384,0.00014051404,0.00014048563,0.00014046513,0.00014045027,0.00014043941,0.00014043125,0.00014042521,0.00014042066,0.00014041705,0.00014041438,0.00014041238,0.00014041076,0.00014040941,0.0011772729,0.008903073,0.19400483,0.13246232,0.45367295,0.19012411
Seq103,0.001295284,0.0008172706,0.00043915468,0.00020969317,0.00010218937,5.8758967e-05,4.1429957e-05,3.3993787e-05,3.0504807e-05,2.8735976e-05,2.7783924e-05,2.724708e-05,2.6932596e-05,2.6742278e-05,2.6623746e-05,2.6548065e-05,2.649864e-05,2.646573e-05,2.6443453e-05,2.6428175e-05,2.641749e-05,2.6410036e-05,2.640467e-05,2.6400818e-05,2.6398024e-05,2.6395985e-05,3.4024146e-05,0.0012522832,0.0060376693,0.12184063,0.023352353,0.024031434,0.04099604,0.18881533,0.04394203,0.15740374,0.123312004,0.056655116,0.08813298,0.120711245
Seq104,0.015952246,0.010065206,0.005408469,0.0025825046,0.001258527,0.00072365406,0.00051023625,0.00041865514,0.0003756861,0.00035390185,0.00034217667,0.00033556495,0.00033169202,0.00032934814,0.00032788838,0.00032695613,0.00032634742,0.0003259423,0.0003256681,0.00032547963,0.00032534834,0.00032525623,0.0003251903,0.00032514287,0.00032510844,0.00032508333,0.00032506458,0.00032505047,0.00032503993,0.00032503172,0.00032502538,0.00032502087,0.000325017,0.00032501388,0.0003250114,0.029358717,0.07453153,0.092838176,0.36258096,0.39486802
Seq105,0.002412437,0.0015221478,0.0008179156,0.00039054875,0.00019032537,0.00010943725,7.716235e-05,6.3312655e-05,5.6814508e-05,5.3520107e-05,5.1746927e-05,5.0747065e-05,5.0161347e-05,4.9806884e-05,4.958612e-05,4.9445163e-05,4.935311e-05,4.9291823e-05,4.9250328e-05,4.9221875e-05,4.920198e-05,4.918809e-05,4.9178096e-05,4.917092e-05,4.916572e-05,4.916192e-05,4.9159105e-05,4.915695e-05,4.915536e-05,4.915414e-05,5.8329635e-05,0.0028947492,0.030500919,0.055239104,0.13484725,0.09985134,0.0780174,0.11440665,0.19084412,0.28665617
Seq106,0.00033516763,0.00021147689,0.000113635644,5.4260192e-05,2.6442518e-05,1.5204469e-05,1.0720414e-05,8.796231e-06,7.893423e-06,7.4357204e-06,7.1893674e-06,7.0504466e-06,6.9690773e-06,6.9198304e-06,6.8891595e-06,0.00015555476,0.0028976924,0.004604407,0.005155499,0.013065175,0.0063271853,0.015336213,0.026756115,0.031992916,0.010337417,0.020588491,0.05057064,0.04264565,0.027440177,0.038336933,0.021711936,0.019696394,0.014298709,0.047209293,0.12816508,0.093012094,0.09282995,0.17825754,0.08950935,0.018273547
Seq107,0.006590989,0.004158641,0.0022346159,0.0010670129,0.0005199854,0.00029899197,0.00021081419,0.00017297565,0.00015522215,0.00014622154,0.00014137707,0.00013864537,0.00013704512,0.0001360767,0.00013547356,0.00013508846,0.00013483696,0.0001346695,0.00013455628,0.00013447841,0.00013442418,0.0001343861,0.00013435881,0.0001343392,0.00013432498,0.0001343146,0.00013430692,0.00013430102,0.00013429667,0.00013429335,0.00013429065,0.00013428887,0.0001342872,0.00013428592,0.0001342849,0.00013428413,0.008175904,0.15483864,0.3924558,0.42546287
Seq108,0.0027703878,0.001748,0.0009392752,0.0004484971,0.00021856534,0.00012567519,8.861146e-05,7.2706855e-05,6.524452e-05,6.14613e-05,5.9424965e-05,5.827675e-05,5.7604128e-05,5.719707e-05,5.694355e-05,5.6781682e-05,5.6675966e-05,5.6605582e-05,5.6557987e-05,5.652526e-05,5.6502457e-05,5.6486457e-05,5.6474983e-05,5.6466797e-05,5.6460765e-05,5.645646e-05,5.6453177e-05,5.6450754e-05,5.6448927e-05,5.644747e-05,5.644634e-05,5.6445584e-05,0.0014517767,0.008983379,0.058773793,0.007668503,0.023022246,0.3911386,0.16225682,0.33891636
Seq109,0.0022671355,0.0014304688,0.0007686525,0.00036702596,0.00017886206,0.00010284583,7.251486e-05,5.9499333e-05,5.3392563e-05,5.029658e-05,4.8630205e-05,4.7690566e-05,4.7140125e-05,4.680701e-05,4.6599547e-05,4.6467077e-05,4.638057e-05,4.632297e-05,4.6283978e-05,4.6257235e-05,4.6238536e-05,4.6225483e-05,4.6216097e-05,4.6209352e-05,4.620446e-05,4.620089e-05,4.619825e-05,4.6196223e-05,4.6194724e-05,4.6193578e-05,4.6192654e-05,4.6191995e-05,4.6191464e-05,0.0013772948,0.010145436,0.073953785,0.06325123,0.1387701,0.3911018,0.31498045
Seq110,0.002312759,0.0014592551,0.00078412064,0.00037441193,0.00018246144,0.000104915474,7.397413e-05,6.0696682e-05,5.4467022e-05,5.1308743e-05,4.960883e-05,4.865028e-05,4.808876e-05,4.7748945e-05,4.75373e-05,4.7402173e-05,4.731392e-05,4.7255162e-05,4.7215388e-05,4.7188107e-05,4.716903e-05,4.7155714e-05,4.7146135e-05,4.7139256e-05,4.7134272e-05,4.713063e-05,4.7127935e-05,4.7125865e-05,4.712434e-05,4.712317e-05,4.7122227e-05,4.712155e-05,4.712101e-05,0.00014754535,0.0027294278,0.021621214,0.10337258,0.36875895,0.28464165,0.2121795
Seq111,0.004339324,0.0027379338,0.0014712097,0.00070249196,0.00034234402,0.0001968481,0.00013879426,0.0001138824,0.00010219399,9.6268246e-05,9.3078765e-05,9.1280286e-05,9.0226735e-05,8.958915e-05,8.9192064e-05,8.893853e-05,8.877294e-05,8.86627e-05,8.858806e-05,8.8536886e-05,8.8501096e-05,8.847611e-05,8.845814e-05,8.844523e-05,8.843587e-05,8.842904e-05,8.842398e-05,8.84201e-05,8.841723e-05,8.841504e-05,8.841327e-05,8.841201e-05,8.841099e-05,8.841015e-05,0.00020129648,0.011327157,0.05191668,0.17256181,0.47500154,0.2766153
Seq112,0.0025604463,0.0016155356,0.0008680964,0.00041450976,0.00020200232,0.000116151445,8.1896425e-05,6.719702e-05,6.03002e-05,5.6803678e-05,5.4921762e-05,5.386051e-05,5.3238902e-05,5.286269e-05,5.2628387e-05,5.247873e-05,5.2381027e-05,5.231603e-05,5.227199e-05,5.224174e-05,5.2220672e-05,5.220588e-05,5.2195326e-05,5.218766e-05,5.218219e-05,5.2178104e-05,5.2175124e-05,5.2172833e-05,5.217114e-05,5.216985e-05,5.2168853e-05,5.2168107e-05,5.216746e-05,5.2166964e-05,0.0006344921,0.012813946,0.057048094,0.21374528,0.32777604,0.3806795
Seq113,0.002719829,0.0017160996,0.00092213426,0.00044031243,0.00021457659,0.00012338172,8.699436e-05,7.1379945e-05,6.4053806e-05,6.033963e-05,5.8340513e-05,5.721325e-05,5.6552897e-05,5.615327e-05,5.5904376e-05,5.574546e-05,5.5641674e-05,5.5572575e-05,5.5525798e-05,5.5493718e-05,5.5471282e-05,5.5455625e-05,5.544436e-05,5.543627e-05,5.5430406e-05,5.5426124e-05,5.5422952e-05,5.5420518e-05,5.5418725e-05,5.541735e-05,5.541624e-05,5.5415447e-05,5.541481e-05,5.5414286e-05,5.541386e-05,5.5413544e-05,0.0075675673,0.17076749,0.5685254,0.24527152
Seq114,0.0005668504,0.00035765916,0.00019218557,9.176722e-05,4.4720786e-05,2.5714462e-05,1.8130833e-05,1.4876571e-05,1.33497015e-05,1.2575616e-05,1.2158984e-05,1.1924035e-05,1.1786419e-05,1.1703131e-05,1.1651259e-05,1.1618128e-05,1.1596498e-05,1.1582107e-05,1.1572359e-05,1.156566e-05,1.15609955e-05,1.1557722e-05,1.1555386e-05,1.155369e-05,1.1552476e-05,1.1551573e-05,1.1550912e-05,0.0001527882,0.0015272936,0.006182841,0.0046321033,0.009111623,0.0421698,0.2844689,0.330443,0.1056054,0.06921803,0.07228253,0.042541955,0.030127883
Seq115,0.002241185,0.001414095,0.0007598538,0.00036282465,0.00017681473,0.00010166857,7.1684786e-05,5.8818245e-05,5.2781386e-05,4.9720842e-05,4.8073583e-05,4.7144655e-05,4.6600562e-05,4.6271263e-05,4.6066172e-05,4.5935176e-05,4.5849654e-05,4.579276e-05,4.5754212e-05,4.5727735e-05,4.5709294e-05,4.5696346e-05,4.5687113e-05,4.56804e-05,4.567561e-05,4.5672037e-05,4.5669425e-05,4.566742e-05,4.5665936e-05,4.566481e-05,4.5663935e-05,0.0017782793,0.008857372,0.051983986,0.17255971,0.17560415,0.1764583,0.15716983,0.087024376,0.16230889
Seq116,0.0031507707,0.0019880058,0.0010682411,0.00051007734,0.00024857503,0.00014293083,0.00010077812,8.268968e-05,7.4202755e-05,6.9900096e-05,6.7584224e-05,6.627829e-05,6.551338e-05,6.505043e-05,6.47621e-05,6.4577944e-05,6.4457716e-05,6.437773e-05,6.43236e-05,6.4286316e-05,6.426045e-05,6.424219e-05,6.42292e-05,6.4219836e-05,6.421303e-05,6.420807e-05,6.420434e-05,6.420158e-05,6.41995e-05,6.419785e-05,6.4196625e-05,6.419577e-05,6.419497e-05,6.419436e-05,0.0016298202,0.0400534,0.112126,0.1997099,0.22664633,0.41084823
Seq117,0.0026519836,0.0016732919,0.00089913176,0.0004293289,0.00020922402,0.000120303994,8.4824314e-05,6.959939e-05,6.2456e-05,5.883447e-05,5.688522e-05,5.5786077e-05,5.5142198e-05,5.4752538e-05,5.4509852e-05,5.4354903e-05,5.425371e-05,5.4186326e-05,5.414072e-05,5.4109438e-05,5.4087566e-05,5.40723e-05,5.4061315e-05,5.4053424e-05,5.4047705e-05,5.4043532e-05,5.4040436e-05,5.4038068e-05,5.4036318e-05,5.4034976e-05,5.403389e-05,5.403312e-05,5.40325e-05,0.0012660802,0.008875101,0.094054304,0.18726185,0.30110297,0.21008441,0.1898455
Seq118,0.0010482981,0.00066143274,0.00035541627,0.00016970868,8.270381e-05,4.7554753e-05,3.3530057e-05,2.7511822e-05,2.4688123e-05,2.3256576e-05,2.248606e-05,2.2051581e-05,2.1797065e-05,2.1643036e-05,2.1547106e-05,2.1485854e-05,2.1445854e-05,2.141922e-05,2.1401192e-05,2.1388827e-05,2.1380181e-05,2.1374146e-05,2.1369804e-05,2.1366686e-05,2.1364425e-05,2.1362775e-05,2.1361551e-05,2.1360614e-05,2.1359923e-05,2.1359394e-05,0.0012333124,0.0050977934,0.0028499707,0.012442228,0.12342332,0.3067697,0.02245914,0.094234295,0.14281954,0.2857662
Seq119,0.0020452233,0.0012904513,0.000693415,0.00033110063,0.00016135463,9.2779046e-05,6.541694e-05,5.3675398e-05,4.816638e-05,4.537344e-05,4.3870168e-05,4.3022465e-05,4.252594e-05,4.2225438e-05,4.2038275e-05,4.1918734e-05,4.1840696e-05,4.1788775e-05,4.1753636e-05,4.1729436e-05,4.1712643e-05,4.170079e-05,4.169236e-05,4.168628e-05,4.1681866e-05,4.1678646e-05,4.167622e-05,4.1674433e-05,4.167308e-05,4.1672007e-05,4.1671214e-05,4.1670657e-05,4.167014e-05,0.00094403554,0.014232003,0.08104012,0.23426776,0.23753452,0.31221375,0.113976255
Seq120,0.0017372967,0.0010961624,0.0005890152,0.0002812505,0.00013706126,7.8810335e-05,5.5567834e-05,4.559409e-05,4.0914503e-05,3.8542064e-05,3.7265123e-05,3.654505e-05,3.612328e-05,3.586802e-05,3.570904e-05,3.5607496e-05,3.5541205e-05,3.54971e-05,3.5467252e-05,3.5446697e-05,3.5432433e-05,3.5422367e-05,3.5415203e-05,3.5410038e-05,3.540629e-05,3.5403555e-05,3.5401492e-05,3.5399975e-05,3.5398825e-05,3.5397916e-05,3.539724e-05,3.5396766e-05,0.0020088088,0.023303738,0.077230774,0.11776062,0.2160554,0.19781955,0.21941246,0.14152451
Seq121,0.0014233873,0.0008980985,0.00048258677,0.00023043167,0.00011229588,6.457019e-05,4.5527348e-05,3.735575e-05,3.352171e-05,3.1577947e-05,3.0531763e-05,2.9941797e-05,2.9596236e-05,2.9387098e-05,2.9256844e-05,2.9173649e-05,2.9119334e-05,2.9083201e-05,2.9058718e-05,2.9041901e-05,2.903019e-05,2.9021967e-05,2.90161e-05,2.9011837e-05,2.9008796e-05,2.9006527e-05,2.9004867e-05,2.9003595e-05,2.9002655e-05,2.9001936e-05,2.9001383e-05,0.00051898276,0.016798362,0.027975542,0.12419304,0.19855334,0.12304114,0.13176365,0.17181934,0.20136395
Seq122,0.036677506,0.023141988,0.01243518,0.005937708,0.0028936134,0.0016638293,0.0011731378,0.0009625745,0.00086377986,0.0008136934,0.00078673486,0.00077153306,0.00076262845,0.0007572394,0.00075388304,0.0007517396,0.0007503401,0.0007494086,0.0007487781,0.0007483448,0.000748043,0.00074783113,0.0007476796,0.00074757054,0.00074749143,0.00074743363,0.00074739056,0.0007473581,0.00074733386,0.000747315,0.0007473004,0.00074729003,0.0007472811,0.000747274,0.0007472683,0.0012801682,0.016844189,0.2630326,0.29747766,0.31600985
Seq123,0.0023567362,0.0014870029,0.0007990304,0.0003815312,0.00018593097,0.0001069104,7.538072e-05,6.1850806e-05,5.5502696e-05,5.2284355e-05,5.0552168e-05,4.957534e-05,4.9003193e-05,4.8656915e-05,4.8441252e-05,4.8303507e-05,4.8213573e-05,4.815375e-05,4.8113216e-05,4.808537e-05,4.8065976e-05,4.8052363e-05,4.8042646e-05,4.8035592e-05,4.8030553e-05,4.80268e-05,4.8024052e-05,4.8021946e-05,4.802039e-05,4.80192e-05,4.801828e-05,4.801759e-05,0.0001337842,0.0064856377,0.025879748,0.085416324,0.112101,0.14152047,0.30723438,0.31460303
Seq124,0.0005471316,0.00034521736,0.00018550016,8.857498e-05,4.3165073e-05,2.4819952e-05,1.750013e-05,1.43590705e-05,1.2885315e-05,1.2138157e-05,1.1736006e-05,1.1509231e-05,1.1376404e-05,1.1296012e-05,1.1245944e-05,1.1213966e-05,1.11930885e-05,1.1179198e-05,1.1169799e-05,1.1163324e-05,1.11588315e-05,1.1155662e-05,1.1153406e-05,1.1151778e-05,1.11506e-05,0.00020433021,0.0048676883,0.023291571,0.1452088,0.09741554,0.18011257,0.08684312,0.06673944,0.059537902,0.05657417,0.046042833,0.04624679,0.04016164,0.08499473,0.06029878
Seq125,0.005614041,0.0035422274,0.0019033913,0.00090885547,0.00044291082,0.0002546741,0.00017956638,0.00014733644,0.00013221444,0.00012454794,0.00012042153,0.00011809463,0.000116731695,0.00011590681,0.00011539307,0.00011506494,0.00011485072,0.00011470819,0.00011461176,0.00011454531,0.00011449922,0.00011446669,0.00011444355,0.00011442685,0.00011441474,0.000114405906,0.00011439925,0.00011439433,0.000114390634,0.00011438769,0.0001143855,0.000114383976,0.00011438255,0.000114381466,0.00011438059,0.0014377235,0.022128388,0.2700425,0.38189223,0.3083729
Seq126,0.0019363023,0.0012217266,0.00065648597,0.00031346732,0.00015276148,8.7837936e-05,6.1933046e-05,5.081687e-05,4.560124e-05,4.295704e-05,4.1533785e-05,4.073127e-05,4.0261148e-05,3.9976647e-05,3.979945e-05,3.9686318e-05,3.961243e-05,3.9563238e-05,3.9529976e-05,3.9507097e-05,3.9491162e-05,3.947998e-05,3.947196e-05,3.9466242e-05,3.9462026e-05,3.9459013e-05,3.9456718e-05,3.9455026e-05,3.9453746e-05,3.945273e-05,0.003044609,0.006387994,0.010233314,0.016016005,0.18286009,0.1253042,0.12216349,0.19006708,0.097099915,0.24145855
Seq127,0.0005621238,0.00035467683,0.00019058304,9.100202e-05,4.434784e-05,2.5500043e-05,1.797965e-05,1.4752538e-05,1.3238398e-05,1.2470767e-05,1.2057585e-05,1.1824607e-05,1.1688127e-05,1.1605534e-05,1.1554094e-05,1.1521251e-05,1.14998e-05,1.1485519e-05,1.1475863e-05,1.1469221e-05,0.0003281271,0.0013549697,0.011366535,0.006451644,0.01724052,0.027942035,0.012359331,0.0050257603,0.008265943,0.00895945,0.0065341527,0.03458144,0.0783975,0.05166104,0.05553288,0.00894708,0.0080210995,0.014989009,0.41914722,0.22145139
Seq128,0.0023914527,0.0015089076,0.00081080105,0.0003871516,0.00018866986,0.000108485314,7.649116e-05,6.2761945e-05,5.6320314e-05,5.3054566e-05,5.1296814e-05,5.03056e-05,4.9725026e-05,4.9373644e-05,4.91548e-05,4.9015023e-05,4.8923772e-05,4.886306e-05,4.882198e-05,4.8793678e-05,4.8774044e-05,4.8760186e-05,4.8750328e-05,4.874322e-05,4.8738057e-05,4.873429e-05,4.8731454e-05,4.8729362e-05,4.8727783e-05,4.872653e-05,4.8725604e-05,4.8724953e-05,4.872435e-05,4.872388e-05,0.0010491635,0.011640084,0.08678435,0.23358454,0.33428982,0.3258313
Seq129,0.0025384538,0.0016016592,0.0008606401,0.0004109494,0.00020026727,0.00011515379,8.1192986e-05,6.661985e-05,5.978226e-05,5.6315774e-05,5.445002e-05,5.339788e-05,5.2781616e-05,5.240864e-05,5.217634e-05,5.2027975e-05,5.193111e-05,5.1866667e-05,5.1823008e-05,5.179302e-05,5.177213e-05,5.1757466e-05,5.1747007e-05,5.1739404e-05,5.1733976e-05,5.172993e-05,5.1726976e-05,5.1724706e-05,5.1723026e-05,5.1721745e-05,5.172076e-05,5.1720017e-05,5.1719377e-05,5.1718886e-05,0.0008364927,0.007199728,0.024327047,0.0707718,0.39762837,0.49199665
Seq130,0.0022132637,0.0013964779,0.00075038726,0.0003583045,0.00017461192,0.00010040194,7.079172e-05,5.8085527e-05,5.212387e-05,4.9101454e-05,4.7474627e-05,4.6557314e-05,4.6019955e-05,4.5694756e-05,4.5492223e-05,4.53629e-05,4.5278448e-05,4.522222e-05,4.5184195e-05,4.5158045e-05,4.5139834e-05,4.5127046e-05,4.5117886e-05,4.5111345e-05,4.5106524e-05,4.5103083e-05,4.510046e-05,4.5098524e-05,4.5097066e-05,4.5095905e-05,4.5094996e-05,4.50944e-05,4.5093882e-05,4.509345e-05,0.0016115931,0.031980265,0.12110002,0.26045614,0.34823132,0.23030815
Seq131,0.004100466,0.0025872244,0.0013902264,0.00066382304,0.00032349976,0.00018601253,0.00013115429,0.00010761381,9.656877e-05,9.096921e-05,8.795522e-05,8.625574e-05,8.526018e-05,8.465769e-05,8.428245e-05,8.404287e-05,8.388641e-05,8.378223e-05,8.3711784e-05,8.366334e-05,8.36296e-05,8.360591e-05,8.358893e-05,8.3576815e-05,8.3567895e-05,8.356151e-05,8.355665e-05,8.3553066e-05,8.355036e-05,8.3548206e-05,8.354653e-05,8.354542e-05,8.3544466e-05,8.3543666e-05,0.00041835342,0.0051683676,0.069089755,0.15430643,0.3080942,0.45122793
Seq132,0.020552237,0.012967611,0.0069680517,0.0033271944,0.001621436,0.00093232654,0.00065736764,0.00053937855,0.00048401894,0.00045595298,0.00044084678,0.00043232826,0.00042733876,0.000424319,0.00042243826,0.00042123703,0.0004204528,0.00041993105,0.00041957755,0.00041933474,0.00041916562,0.0004190469,0.0004189622,0.00041890107,0.00041885674,0.00041882438,0.0004188,0.00041878203,0.00041876844,0.00041875767,0.0004187497,0.0004187437,0.0004187389,0.0004187349,0.0004187317,0.0018812305,0.028827384,0.08481646,0.48226926,0.34316972
Seq133,0.0012137179,0.00076580566,0.00041150037,0.00019648844,9.575433e-05,5.505882e-05,3.8821046e-05,3.1853142e-05,2.8583869e-05,2.6926427e-05,2.6034322e-05,2.553126e-05,2.5236604e-05,2.5058274e-05,2.4947203e-05,2.4876264e-05,2.4829951e-05,2.479914e-05,2.4778288e-05,2.4763925e-05,2.4753963e-05,2.4746927e-05,2.4741925e-05,2.4738316e-05,2.4735695e-05,2.4733785e-05,2.4732346e-05,2.4731286e-05,2.4730483e-05,2.4729847e-05,2.4729374e-05,0.0023167578,0.0044574095,0.057823103,0.050853837,0.17177464,0.103222154,0.16011149,0.2787057,0.16734745
Seq134,0.0007360424,0.0004644123,0.0002495486,0.00011915765,5.806887e-05,3.3389646e-05,2.3542474e-05,1.9316907e-05,1.7334301e-05,1.6329168e-05,1.5788148e-05,1.5483089e-05,1.5304384e-05,1.5196236e-05,1.5128881e-05,1.5085875e-05,1.5057789e-05,1.5039089e-05,1.5026444e-05,1.50177475e-05,1.5011691e-05,1.500744e-05,1.5004392e-05,1.5002216e-05,1.5000614e-05,1.499947e-05,1.4998597e-05,1.4997954e-05,1.4997468e-05,1.4997081e-05,0.00018691058,0.0020011945,0.059566583,0.16985908,0.21309848,0.12783556,0.072001345,0.10581095,0.14314692,0.10445367
Seq135,0.004725342,0.002981495,0.0016020858,0.00076498435,0.00037279833,0.00021435934,0.00015114115,0.00012401317,0.00011128497,0.000104832085,0.00010135889,9.940033e-05,9.825315e-05,9.755885e-05,9.712643e-05,9.685024e-05,9.666992e-05,9.6549964e-05,9.646879e-05,9.641287e-05,9.637408e-05,9.6346695e-05,9.632722e-05,9.631317e-05,9.630297e-05,9.629553e-05,9.628993e-05,9.6285796e-05,9.628267e-05,9.628019e-05,9.627836e-05,9.627707e-05,9.627588e-05,9.627496e-05,0.00032721827,0.007902486,0.03575059,0.14200433,0.28279224,0.5177459
Seq136,0.00056219276,0.00035472034,0.00019060643,9.101319e-05,4.435328e-05,2.5503172e-05,1.7981856e-05,1.4754349e-05,1.3240023e-05,1.2472297e-05,1.2059065e-05,1.1826058e-05,1.1689563e-05,1.1606959e-05,1.1555512e-05,1.1522664e-05,1.1501212e-05,1.1486929e-05,0.00047313643,0.003929305,0.0036761048,0.0077657956,0.01379755,0.033404954,0.029501354,0.10968534,0.02928836,0.119179994,0.21157257,0.036817018,0.040524714,0.10679528,0.032486018,0.041968063,0.054815874,0.03210684,0.039140433,0.009393269,0.021162543,0.021095328
Seq137,0.0017070287,0.0010770644,0.00057875307,0.00027635042,0.00013467332,7.743727e-05,5.4599706e-05,4.479973e-05,4.0201674e-05,3.7870566e-05,3.6615875e-05,3.590838e-05,3.5493926e-05,3.524311e-05,3.5086898e-05,3.498716e-05,3.492202e-05,3.4878653e-05,3.4849294e-05,3.482916e-05,3.481508e-05,3.4805253e-05,3.4798184e-05,3.479311e-05,3.4789424e-05,3.4786735e-05,3.4784745e-05,3.478322e-05,3.4782093e-05,3.478123e-05,3.4780536e-05,3.4780034e-05,3.4779638e-05,0.00033131798,0.0042320723,0.029908532,0.088576466,0.23348556,0.25652507,0.38210717
Seq138,0.001554724,0.0009809665,0.00052711554,0.00025169385,0.00012265748,7.052815e-05,4.972821e-05,4.0802603e-05,3.6614794e-05,3.4491677e-05,3.334893e-05,3.270456e-05,3.2327083e-05,3.2098644e-05,3.1956373e-05,3.186553e-05,3.180621e-05,3.1766707e-05,3.1739968e-05,3.172163e-05,3.1708805e-05,3.1699856e-05,3.1693417e-05,3.1688793e-05,3.168544e-05,3.168299e-05,3.168118e-05,3.167979e-05,3.167876e-05,3.1677977e-05,3.1677344e-05,0.0004335401,0.016685124,0.041722234,0.03708982,0.25356042,0.123591095,0.32422832,0.14631805,0.052032195
Seq139,0.005205933,0.0032847282,0.001765025,0.0008427866,0.0004107138,0.00023616065,0.00016651288,0.00013662592,0.0001226032,0.000115494026,0.00011166759,0.00010950983,0.00010824598,0.00010748106,0.00010700467,0.00010670038,0.000106501735,0.000106369574,0.000106280044,0.00010621853,0.0001061757,0.00010614563,0.00010612417,0.00010610869,0.00010609746,0.00010608926,0.00010608309,0.00010607853,0.000106075095,0.000106072366,0.00010607034,0.00010606882,0.000106067615,0.00024024812,0.0067367833,0.016937058,0.049786992,0.23015247,0.35754988,0.32385474
Seq140,0.0015892842,0.0010027725,0.0005388328,0.00025728875,0.00012538403,7.209593e-05,5.0833616e-05,4.170961e-05,3.7428705e-05,3.5258396e-05,3.4090244e-05,3.3431552e-05,3.3045682e-05,3.2812168e-05,3.2666732e-05,3.2573873e-05,3.2513228e-05,3.247285e-05,3.2445518e-05,3.242677e-05,3.2413664e-05,3.2404514e-05,3.2397933e-05,3.2393207e-05,3.2389777e-05,3.2387274e-05,3.2385422e-05,3.2384e-05,3.238295e-05,3.2382148e-05,3.2381497e-05,3.238104e-05,0.0014622152,0.008382886,0.036140285,0.24397591,0.22332521,0.16996363,0.16559465,0.14668712
Seq141,0.010933229,0.0068984153,0.0037068138,0.0017699767,0.00086255936,0.00049597234,0.0003497017,0.00028693455,0.00025748476,0.00024255445,0.00023451836,0.00022998697,0.00022733248,0.00022572603,0.00022472553,0.00022408672,0.00022366953,0.00022339176,0.00022320394,0.00022307476,0.0002229848,0.00022292163,0.00022287636,0.00022284385,0.00022282026,0.00022280304,0.0002227903,0.00022278052,0.0002227733,0.00022276778,0.00022276332,0.00022276034,0.00022275759,0.00022275545,0.00022275376,0.0004207661,0.008674652,0.022345772,0.4252192,0.51193416
Seq142,0.0021787316,0.0013746894,0.0007386795,0.0003527141,0.00017188757,9.883544e-05,6.96872e-05,5.7179204e-05,5.1310566e-05,4.833531e-05,4.6733956e-05,4.583091e-05,4.530198e-05,4.4981854e-05,4.478248e-05,4.4655135e-05,4.4571996e-05,4.4516684e-05,4.4479217e-05,4.4453474e-05,4.4435546e-05,4.4422963e-05,4.441398e-05,4.4407458e-05,4.44028e-05,4.4399327e-05,4.4396787e-05,4.4394837e-05,4.43934e-05,4.4392298e-05,4.4391454e-05,4.439082e-05,0.0004092597,0.009373982,0.010942919,0.19437778,0.18107449,0.26838335,0.10887648,0.22043666
Seq143,0.0072715175,0.0045880266,0.002465343,0.0011771834,0.00057367474,0.0003298633,0.00023258103,0.0001908356,0.00017124903,0.00016131911,0.00015597459,0.00015296067,0.00015119536,0.00015012694,0.00014946153,0.00014903651,0.00014875905,0.00014857446,0.00014844938,0.00014836348,0.00014830365,0.00014826164,0.00014823166,0.0001482099,0.00014819436,0.00014818276,0.0001481743,0.00014816779,0.00014816299,0.0001481593,0.00014815648,0.00014815436,0.00014815253,0.00014815111,0.00014814998,0.0010986744,0.04949374,0.7993877,0.05737217,0.07176042
Seq144,0.0018218957,0.0011495408,0.0006176978,0.0002949462,0.00014373555,8.264806e-05,5.8273756e-05,4.781433e-05,4.2906864e-05,4.04189e-05,3.907978e-05,3.8324673e-05,3.7882335e-05,3.761464e-05,3.7447917e-05,3.7341466e-05,3.7271948e-05,3.7225658e-05,3.7194324e-05,3.7172835e-05,3.7157806e-05,3.714732e-05,3.7139773e-05,3.7134356e-05,3.7130427e-05,3.7127556e-05,3.7125432e-05,3.7123806e-05,3.71226e-05,3.712168e-05,3.7120935e-05,3.7120404e-05,0.0009540635,0.005169096,0.09423726,0.09347743,0.22489871,0.22885454,0.15077718,0.1965097
Seq145,0.0014911565,0.00094085804,0.00050556357,0.00024140293,0.00011764243,6.764448e-05,4.7694983e-05,3.913432e-05,3.5117737e-05,3.3081425e-05,3.1985404e-05,3.1367348e-05,3.1005336e-05,3.078624e-05,3.0649782e-05,3.0562627e-05,3.0505726e-05,3.0467872e-05,3.0442256e-05,3.042461e-05,3.0412368e-05,3.0403724e-05,3.0397578e-05,3.0393145e-05,3.0389925e-05,3.0387579e-05,3.038581e-05,3.0384508e-05,3.038352e-05,3.038274e-05,3.038216e-05,3.0381754e-05,3.0381378e-05,0.00089617213,0.0057197344,0.015110018,0.2540943,0.30180302,0.30319932,0.11495479
